Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
Município;210043;Alto Alegre do Maranhão;1.175;0;0,00;4.343,33;0;0;27;0;0,00;99,80;2,30
Município;210047;Alto Alegre do Pindaré;2.006;20;1,01;6.284,66;0;0;45;0;0,00;140,98;2,24
Município;210050;Alto Parnaíba;880;0;0,00;7.864,16;0;0;10;0;0,00;89,37;1,14
Município;210055;Amapá do Maranhão;172;0;0,00;2.470,55;0;0;6;0;0,00;86,18;3,49
Município;210060;Amarante do Maranhão;1.585;0;0,00;3.825,27;0;0;53;0;0,00;127,91;3,34
Município;210070;Anajatuba;937;0;0,00;3.495,88;0;0;23;0;0,00;85,81;2,45
Município;210080;Anapurus;829;0;0,00;5.269,51;0;0;12;0;0,00;76,28;1,45
Município;210083;Apicum-Açu;509;0;0,00;2.952,61;0;0;5;0;0,00;29,00;0,98
Município;210087;Araguanã;806;0;0,00;5.224,94;0;0;5;0;0,00;32,41;0,62
Município;210090;Araioses;652;1;0,15;1.403,96;0;0;14;1;7,69;30,15;2,15
Município;210095;Arame;1.537;28;1,86;4.700,16;0;0;36;0;0,00;110,09;2,34
Município;210100;Arari;703;22;3,23;2.355,27;0;0;31;0;0,00;103,86;4,41
Município;210110;Axixá;191;0;0,00;1.574,61;0;0;7;0;0,00;57,71;3,66
Município;210120;Bacabal;5.111;63;1,25;4.869,98;0;0;184;0;0,00;175,32;3,60
Município;210125;Bacabeira;342;0;0,00;2.005,28;0;0;9;0;0,00;52,77;2,63
Município;210130;Bacuri;577;0;0,00;3.105,16;0;0;4;0;0,00;21,53;0,69
Município;210135;Bacurituba;117;0;0,00;2.073,00;0;0;2;0;0,00;35,44;1,71
Município;210140;Balsas;9.830;0;0,00;10.359,69;0;0;182;0;0,00;191,81;1,85
Município;210150;Barão de Grajaú;449;0;0,00;2.385,76;0;0;2;0;0,00;10,63;0,45
Município;210160;Barra do Corda;5.710;5;0,09;6.473,04;0;0;57;0;0,00;64,62;1,00
Município;210170;Barreirinhas;2.182;19;0,88;3.489,64;0;0;39;0;0,00;62,37;1,79
Município;210173;Belágua;410;0;0,00;5.489,36;0;0;3;0;0,00;40,17;0,73
Município;210177;Bela Vista do Maranhão;218;0;0,00;1.944,87;0;0;18;0;0,00;160,59;8,26
Município;210180;Benedito Leite;314;0;0,00;5.575,28;0;0;2;0;0,00;35,51;0,64
